prompt,expected
"Choose correct article: ___ apple on the table is red.","The apple on the table is red."
"Choose article: I saw ___ cat in the garden.","I saw a cat in the garden."
"Fill: She is ___ honest person.","She is an honest person."
"Fill: He wants ___ job at the firm.","He wants a job at the firm."
"Fill: ___ sun rises in the east.","The sun rises in the east."
"Choose: I need ___ umbrella.","I need an umbrella."
"Fill: He is ___ university student.","He is a university student."
"Choose: She adopted ___ dog from shelter.","She adopted a dog from the shelter."
"Fill: ___ water in the glass is cold.","The water in the glass is cold."
"Complete: We saw ___ eagle flying.","We saw an eagle flying."